K,L,R,Rstitched,a,Recall,UserTime,ElapsedTime
100,150,10,-1,1.2,90.08,9.171875,1.2674
100,150,20,-1,1.2,95.04,10.921875,2.287
100,150,30,-1,1.2,99.75,12.343750,3.40356
100,150,40,-1,1.2,99.94,14.343750,5.13701
100,150,50,-1,1.2,99.93,16.812500,6.75322
100,150,60,-1,1.2,99.96,18.906250,8.47043
100,150,70,-1,1.2,99.96,20.562500,10.2185
100,150,80,-1,1.2,99.97,22.515625,11.6751
100,150,90,-1,1.2,99.97,24.187500,13.4
100,150,100,-1,1.2,99.98,25.546875,14.1692
100,150,110,-1,1.2,99.97,25.234375,16.1746
